Name,Street_Address,City,State,Zip,Latitude,Longitude,Additional_Directions,Day_Time,Season,Affiliations
Millvale Green Grocer,518 Grant Avenue,Pittsburgh,PA,15209,40.480754,-79.974368,GAP Park,Tuesday 4:30 PM-5:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Misera Farms,Butler Logan Road,Tarentum,PA,15084,40.579492,-79.797134,,Saturday-Sunday 11:00 AM-4:00 PM,June-October,
Monroeville Lion's Farmer's Market,2399 Tillbrook Road,Monroeville,PA,15146,40.418342,-79.763985,Monroeville Community Park,Saturday 9:00 AM-12:30 PM,June-November,
Moon Township Farmer's Market,1000 Beaver Grade Road,Moon Township,PA,15108,40.504587,-80.208135,Municipal Building,Wednesday 3:00 PM-6:00 PM,June-September,Just Harvest Fresh Access
Mt. Hope Farmer's Market,12106 Frankstown Road,Pittsburgh,PA,15235,40.470772,-79.820478,,Wednesday 2:00 PM-6:00 PM,June-September,
Mt. Lebanon Lions Farmer's Market,975 Washington Road,Pittsburgh,PA,15228,40.37376,-80.048131,United Lutheran Church parking lot,Wednesday 4:00 PM-7:00 PM,June-October,
Mt. Lebanon Upton Farmer's Market,710 Washington Road,Pittsburgh,PA,15228,40.379964,-80.045191,,Saturday 9:00 AM-12:00 PM,June-November,
Mt. Oliver/Knoxville Green Grocer,Brownsville Road at Hays Avenue,Pittsburgh,PA,15210,40.414217,-79.987975,Clock Tower,Thursday 11:00 AM-12:00 PM,Year Round,Greater Pittsburgh Community Food Bank
New Sheffield Farmer's Market,2816 Brodhead Road,Aliquippa,PA,15001,40.615515,-80.285458,,Wednesday 3:30 PM-6:30 PM,June-November,
Northside Farmer's Market ,801 Union Place,Pittsburgh,PA,15212,40.454513,-80.002965,Allegheny Commons East Park,Friday 3:00 PM-7:00 PM,June-November,Citiparks
Oakland Farmer's Market,4100 Forbes Avenue,Pittsburgh,PA,15213,40.443386,-79.952135,Schenley Plaza,Friday 2:00 PM-6:00 PM,July-October,
Olde World Produce,1206 Route 51,Jefferson Hills,PA,15025,40.31224,-79.938562,Ciccanti's Ristorante parking lot,Daily 9:30 AM-5:00 PM,July-September,
Original Farmer's Market,151 Parks Road,Cuddy,PA,15031,40.339917,-80.171283,,"Monday, Wednesday, and Friday 5:30 PM-9:00 PM",June-November,
Pennsylvania Market Building,108 18th Street,Pittsburgh,PA,15222,40.450759,-79.985309,,Saturday 8:00 AM-4:00 PM,June-November,
Ross Township Farmer's Market,920 Perry Highway,Pittsburgh,PA,15237,40.533395,-80.03564,St. John's Church ,Wednesday 3:00 PM-7:00 PM,June-October,
Schiefelbein Farm Stand,3323 Route 151,Aliquippa,PA,15001,40.545145,-80.306042,,Daily 11:00 AM-7:00 PM with  5:00 PM closing in November ,June-November,
Sewickley Farmer's Market,200 Walnut Street,Sewickley,PA,15143,40.537606,-80.184696,St. James Catholic Church parking lot,Saturday 9:00 AM-1:00 PM,June-November,
Sharpsburg Green Grocer,1212 Main Street,Pittsburgh,PA,15215,40.494457,-79.930212,Sharpsburg Community Library,Monday 3:30 PM-4:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Shenot Farm Market,3754 Wexford Run Road,Wexford,PA,15090,40.627021,-80.07968,,Daily 9:00 AM-6:00 PM,June-November,
Sheraden Green Grocer,720 Sherwood Avenue,Pittsburgh,PA,15204,40.455202,-80.056557,Sheraden Library,Tuesday 1:30 PM-2:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Shiloh Farm Stand,Thomas Boulevard & Homewood Avenue,Pittsburgh,PA,15208,40.451184,-79.9899089,,Thursday 3:00 PM-6:00 PM,June-October,Grow Pittsburgh
Simmons Farm Market,170 Simmons Road,McMurray,PA,15317,40.270055,-80.082325,,Daily 9:00 AM-6:00 PM,June-November,
Simmons Farm Market,2861 Washington Road,McMurray,PA,15317,40.300759,-80.098302,,Daily 9:00 AM-7:00 PM,June-November,
Soergel Orchards,2573 Brandt School Road,Wexford,PA,15090,40.614598,-80.092754,,Monday-Friday 8:00 AM-7:30 PM and Saturday-Sunday 8:00 AM-6:00 PM,Year Round,
Southside Farmer's Market,18th Street & East Carson Street,Pittsburgh,PA,15203,40.428468,-79.980291,Parking lot,Tuesday 3:00 PM-7:00 PM,June-November,Citiparks
Spring Hill Green Grocer,125 Rhine Place,Pittsburgh,PA,15212,40.467138,-79.993135,Three Rivers Manor,Monday 2:00 PM-3:00 PM,Year Round,Greater Pittsburgh Community Food Bank
Squirrel Hill Farmer's Market,5737 Beacon Street,Pittsburgh,PA,15217,40.434744,-79.924142,Pittsburgh Parking Authority parking lot,Sunday  9:00 AM-1:00 PM,June-November,Citiparks
Steel Plaza Farmer's Market,8 Grant Street,Pittsburgh,PA,15222,40.441041,-79.995344,Steel Plaza,Friday 10:00 AM-2:00 PM,June-October,
Swissvale Fresh Access,2036 Noble Street,Pittsburgh,PA,15218,40.420912,-79.885924,Municipal parking lot,Saturday 9:00 AM-1:00 PM,June-October,Just Harvest Fresh Access
Tarentum Farmer's Market,913 Lock Street,Tarentum,PA,15084,40.604353,-79.756658,,Wednesday 9:00 AM-1:00 PM,June-October,
The Block @ Northway,8103 McKnight Road,Pittsburgh,PA,15237,40.558382,-80.023612,Northway Mall,Friday 3:00 PM-7:00 PM,June-October,
Tractor Supply Farmer's Market,4015 Freeport Road,Natrona Heights,PA,15065,40.646918,-79.710027,Highlands Mall,Friday 3:00 PM-6:00 PM,June-October,
Trax Farms,528 Trax Road,Finleyville,PA,15332,40.276656,-80.032011,,Monday-Friday 9:00 AM-8:00 PM and Saturday-Sunday 9:00 AM-6:00 PM,June-November,
Triple B Farms,823 Berry Lane,Monongahela,PA,15063,40.226375,-79.946364,,Monday-Friday 9:00 AM-6:00 PM and Saturday-Sunday 9:00 AM-5:00 PM,June-October,
Upper St. Clair Lions Farmer's Market,2040 Washington Road,Pittsburgh,PA,15241,40.339976,-80.065555,Westminster Presbyterian Church,Thursday 4:00 PM-7:00 PM,June-September,
Valley View Farm Stand,601 N. Aiken Avenue,Pittsburgh,PA,15206,40.47095,-79.932796,,Wednesday 3:00 PM-7:00 PM,June-October,
Verona Farmer's Market,736 East Railroad Avenue,Verona,PA,15147,40.506048,-79.844477,,Thursday 2:00 PM-7:00 PM,June-November,
West Homestead Farmer's Market,456 W. 8th Avenue,Homestead,PA,15120,40.401228,-79.917314,,Thursday 3:00 PM-7:00 PM,June-October,
Wexford Farms,550 Warrendale Road,Wexford,PA,15090,40.64763,-80.100129,,Daily 8:00 AM-4:00 PM,June-October,
Wilkins Township Farmer's Market,333 Penn Center Boulevard,Pittsburgh,PA,15235,40.427682,-79.811636,Route 22 Penn Center,Wednesday 3:00 PM-6:30 PM,June-October,
Wilkinsburg Farmer's Market,225 Penn Avenue,Pittsburgh,PA,15221,40.446769,-79.891807,Life Care Hospital parking lot,Thursday 3:00 PM-6:30 PM,June-November,Just Harvest Fresh Access
Wilmerding Green Grocer,314 Commerce Street,Wilmerding,PA,15148,40.392927,-79.807721,Wilmerding Apartments,Friday 2:30 PM-3:30 PM,Year Round,Greater Pittsburgh Community Food Bank
Woods Run Green Grocer,1201 Woods Run Avenue,Pittsburgh,PA,15212,40.476243,-80.030199,Woods Run Library,Tuesday 3:00 PM-4:00 PM,Year Round,Greater Pittsburgh Community Food Bank
