X,Y,FID,globalid,EditDate,POC_name,POC_phone,POC_email,SITE_name,SITE_website,SITE_specific_location,Time,PublicNotes,SITE_address1,SITE_address2,SITE_city,SITE_state,SITE_zip,STATUS,Population_Served,Population_Served_filter,Volunteer,Volunteer_Info,Limited,CATEGORY
-80.022488886,40.395228784,187,{A520E2DF-0D13-4399-89E6-44E3463E3325},2020/03/22 00:23:52,Christian + Rebecca,,,Menuette: pay-what-you-can Community Kitchen Store,https://www.facebook.com/pg/menuettepgh/,(none),"preorders are live. estimated delivery date is monday, march 30th; see https://www.menuettepgh.com/ for more details","Currently only soups will be available, but we hope to expand into a larger pay-what-you-can menu in the future.",600 Brookline Blvd,,Pittsburgh,PA,15226,active,"The goal of the Community Kitchen Store program is to connect those who are suffering from financial or food instability with those who can afford to pay a little extra in order to help their neighbors in need. As this program is still in its pilot phase, it will be limited to South Pittsburgh + South Hills Residents only. ",none_of_the_above,No,,,
-79.992798465,40.454955683,189,{309E0A38-3BD9-4BC8-82D7-D233BF20EF2C},2020/03/22 00:57:44,,,,Sarah Heinz House,https://www.facebook.com/pg/sarah.h.house/, parents can pull up to the circle for curb side pick up,Monday-Friday 4:30pm - 6:00pm,grab’n go meals,1 Heinz Street,,Pittsburgh,PA,15212,active,school age youth,students,No,,,
-79.813597336,40.4618702,190,{8278FDED-823C-4FFD-8D76-5D3A7BBE8EC9},2020/03/22 01:04:36,,,,Blessing Box at God's Choice Church,https://www.facebook.com/GCCPennHills/,(none),24/7,(none),715 Universal Road,,Pittsburgh,PA,15235,active,anyone,"everyone,students,senior_citizens",No,,,
-80.0231770189999,40.551239234,192,{25D2FCAE-ACB5-4B0A-8260-F036E15265BF},2020/03/22 02:15:05,,,,Piada's Kids Free Lunch Program,https://mypiada.com/blog/to-our-community,(none),"Monday – Friday (March 16 – April 3), during lunch hours of 10:45am - 1:00pm","meals are pasta with sauce, cheese and a fountain drink",6296 Northway Mall Drive,,Pittsburgh,PA,15237,active,K-12 students part of the School Lunch program who are affected by the closures,students,No,,,
-79.95744381,40.4402724390001,193,{1D809F32-5B8D-4D78-8CA6-30352BD40C59},2020/03/22 02:15:15,,,,Piada's Kids Free Lunch Program,https://mypiada.com/blog/to-our-community,(none),"Monday – Friday (March 16 – April 3), during lunch hours of 10:45am - 1:00pm","meals are pasta with sauce, cheese and a fountain drink",3600 Forbes Ave,,Pittsburgh,PA,15213,active,K-12 students part of the School Lunch program who are affected by the closures,students,No,,,
-79.760194822,40.3424243170001,194,{2163139F-93A1-4003-8125-C8C72DD484DE},2020/03/22 02:15:24,,724-382-5006,infernopizza@gmail.com,"Inferno Pizza, Pasta, & Wings Restaurant",https://www.facebook.com/infernopizzanorthhuntingdonpa/,(none),Any school day 11:00am-2:00pm,"Lunches include (1) Cheese slice of Pizza with (1) topping & (1) Small fountain drink.  Just mention ""Free Student Lunch"" when ordering. Each Norwin student must be present when receiving the FREE Student Lunch. Call for details. Restrictions may apply.",13380 Route 30,,Irwin,PA,15642,active,Norwin Students,students,No,,,
-79.6698274249999,40.313309243,195,{1E3479CB-1448-48BC-85D2-AF7F561E404D},2020/03/22 02:15:31,,724-864-7474,,Irwin Dairy Queen,https://www.facebook.com/IrwinDairyQueen/,(none),"Monday, March 23 - Friday, March 27
11:30 am - 2:30 pm","Drive thru is also available. Must mention ""Free Student Lunch"" when placing order. Each student must be present when receiving the lunch. Due to inventory, will be limiting free student lunches to a chicken strips kids meal, including an ice cream of your choice.", 7578 Rte 30,,Irwin,PA,15642,active,kids,students,No,,,
-79.6158730989999,40.3268447460001,196,{78861783-8704-4387-81F5-5FDCCB8154BA},2020/03/22 02:21:40,,724-610-2736,,JTown Kitchen,https://www.facebook.com/pages/category/Diner/JTown-Kitchen-104126047687259/,(none),"Monday - Friday, 7:00 am - 4:00 pm","JTown Kitchen will be open for take out, delivery and Door dash. Call us at 724-610-2736 to place your order.",109 South 2nd Street,,Jeanette,PA,15644,active,school-age children of Jeanette,students,No,,,
-79.77925838,40.489948101,197,{AC5DD8CE-2F6A-4FBA-838B-65211F843E46},2020/03/22 12:10:28,,412-795-1229,,Lelulo's Pizzeria,https://www.facebook.com/Lelulos/,(none),"(hours from a 3/20 Facebook post)
Tuesday-Sunday, 11:00am - 8:00pm",(none),311 Unity Center Rd,,Plum,PA,15239,active,kids,students,Yes,"From a 3/20/20 Facebook post:   I will be asking for more and more volunteers so we can attempt some curbside but it is not very easy with the amount of children we’ve been getting. 

(I assume you should them through Facebook or phone if you're interested helping distribute.)",,
-79.585264324,40.1099117950001,198,{EA816521-ACD8-496B-8123-A5CE480F9A8B},2020/03/22 12:31:38,Big Mike,724 220-5255,,Mad Pies,https://www.facebook.com/MadPiesScottdale/,(none),"Lunches available starting at 11am
Delivery available as drivers are available",Call in to order your free k-12 student lunch, 811 Water Street,,Scottdale,PA,15683,active,local children within a 5 mile radius of shop in Scottdale,students,Yes,"Call the General Manager for more details or find ""Michael Radzilowski"" on Facebook and send a private message.",,
-79.579188425,40.237927358,199,{8E1B924F-4A48-4B4A-8757-C6E6A4C572B3},2020/03/22 12:45:09,,,,Rocco’s Pizzeria,https://www.facebook.com/pg/RoccosPizzeria/,(none),"Will distribute Monday-Friday, March 23-27, 11:00am - 3:00pm; can continue longer if they have the supplies and manpower",just as for a student lunch,112 S 3rd St,,Youngwood,PA,15697,active,anyone under the age of 18,students,No,,,
-79.6091862439999,40.2187309190001,200,{4C421A41-99E4-49DD-858B-A4C0C5C871D3},2020/03/22 12:58:30,,724-797-2591,,Big Black Grill,https://www.facebook.com/Bigblackgrill/,(none),check website or call for times or updates,(none),103 East Byers Ave.,,New Stanton,PA,15672,active,"any students in need; other specials may happen to check Facebook page for updates (they gave free lunch to grocery store/gas station attendants one day)",students,No,,,
-79.619872616,40.208290564,201,{E25CEE72-6D1E-4E1E-80F1-3A3FB3915535},2020/03/22 13:06:23,,,,"Fox's Pizza Den (Hunker, PA)",https://www.facebook.com/foxshunker/,(none),"Monday-Friday March 23-27, 11:00 am - 2:00 pm;
Check Facebook if will extend lunch offer",For the students that can drive or the parents that want to bring the kids in .We are still offering Lunch. 🍕one Free Slice of pizza & bottled water .,1669 New Stanton Ruffsdale Rd,,Hunker,PA,15639,active,students K-12 ( student must be present when picking up lunch),students,No,,,
-79.403717991,40.120870462,202,{0EE14539-DFE8-486E-8024-0CC290A89FFE},2020/03/22 14:29:09,,724-423-4566,,Brady's Restaurant,https://www.facebook.com/pg/Bradys-Restaurant-219684391382258,(none),Check Facebook if will extend lunch offer,"FREE LUNCH MENU FOR CHILDREN IN NEED:
(Please call to order)

Chicken Fingers and French Fries
Grilled Cheese and French Fries

All meals come with choice of Grapes or a Tossed salad

Cup of Chocolate or White Milk (while milk supplies last)", 3242 State Route 31,,Acme,PA,15610,active,children in need,students,No,,,
-80.0375621429999,40.3960611470001,203,{2FE0A030-71B2-4DFE-85B4-75F794362280},2020/03/22 14:12:37,Carla Chugani,,hatefreedormont@gmail.com,Dormont Little Free Pantry,https://www.facebook.com/groups/791412254372478/,"Pantry box is located on the front porch of the house.  It can be accessed any time - no appointment is needed.  Please note that some foods may be brought inside at night (e.g., canned and jarred goods) if the temperature drops below freezing - this is to ensure food safety.  If you are in need of particular items (e.g., baby products) or have special food needs (e.g., allergies, celiac, etc.), you can email us at hatefreedormont@gmail.com and we will do our best to source items for you and schedule a pick-up time.","The pantry box is available 24/7, no appointments are needed.  Please note that some foods may not be available if the temperature is too low or high for food safety reasons since this is an outdoor location.","We rely on donations, but have tried to encourage donors to give the following items:
-Bags of rice, bags/boxes of beans and rice mix (e.g., red beans and rice)
-Canned vegetables, fruits, and soups
-Cereals, oats, and shelf stable milk
-Mac and cheese, pasta, and jarred sauce
-Individually wrapped rolls of toilet paper
-Hygiene products including soaps, shampoos, toothpaste, tooth brushes, and menstrual pads
-Snacks (e.g., goldfish crackers, snack packs)",2958 Belrose Ave,Front Porch,Pittsburgh,PA,15216,active,All are welcome.,everyone,No,,,
-79.9566213849999,40.480189158,204,{5CAF318C-A0B3-49BD-8389-42BFFF9B9DF9},2020/03/22 15:43:48,David Breingan,412.802.7220,info@LUnited.org,Lawrenceville United,www.LUnited.org/coronavirus,"From Butler Street, head north (towards the Allegheny River) onto 51st Street. Turn right as if accessing the parking lot for Thriftique / Allegheny Health Network. Follow driveway to rear of building. The food distribution location is in the rear of that building, by the loading docks, in the approximate middle of the building.",Friday afternoons. Please call Lawrenceville United at 412-802-7220 by 11 a.m. on Fridays to get on our list to receive a box of food. Leave your number and we will call you when it's ready.,"We are practicing social distancing. Please maintain 6 feet distance from us and others at all times. We ask you remain in your vehicle and pop the trunk and we will load the box directly into the trunk. 

We receive the donations from Whole Foods through 412 Food Rescue. We can't anticipate what will come and how much. ",125 51st Street,Rear,Pittsburgh,PA,15201,active,Lawrenceville residents preferred.,"everyone,students,senior_citizens",Yes,We need volunteers to help pack the boxes and deliver it to higher risk populations in Lawrenceville.,,
-79.545077253,40.301893959,205,{482D345E-FE7D-440F-8CC6-77B5C5D60EAE},2020/04/06 18:05:39,Jessica Hickey,,hello@downtowngreensburgpa.us,Greensburg South Pennsylvania Ave Parklet,https://www.downtowngreensburgpa.us/?page_id=8081&preview=true,(none),24/7,"The Greensburg South Pennsylvania Avenue Parklet Little Free Pantry accepts and distributes non perishables, paper and hygiene products.",135 South Pennsylvania Avenue,,Greensburg,PA,15601,active,Any populations are eligible.,everyone,No,,,
-79.54179525,40.303512,206,{B7A3CDCB-3FA3-45B8-8FD0-AB6F536778A6},2020/04/06 18:06:28,Jessica Hickey,,hello@downtowngreensburgpa.us,Greensburg St. Clair Park,https://www.downtowngreensburgpa.us/little-free-pantries/,This pantry is located on the right side of the amphitheater.,24/7,"The Greensburg St. Clair Park Little Free Pantry accepts and distributes non perishables, paper and hygiene products.",North Maple Avenue,,Greensburg,PA,15601,active,Any populations are eligible.,everyone,No,,,
-79.536644445,40.309347544,207,{DB34A7AC-A5CE-4A1A-8025-1F9D6B2A98FD},2020/04/06 18:06:17,Jessica Hickey,,hello@downtowngreensburgpa.us,Greensburg Lynch Field,https://www.downtowngreensburgpa.us/little-free-pantries/,Located in the pavilion next to the fire training tower.,24/7,"The Greensburg Lynch Field Little Free Pantry accepts and distributes non perishables, paper and hygiene products.",520 New Alexandria Rd.,,Greensburg,PA,15601,active,Any populations are eligible.,everyone,No,,,
-80.023169195,40.2858680800001,208,{B2A4AA34-EA74-4A65-8CDF-9AA86DF5D716},2020/03/22 19:31:03,Cyd West,412-835-7114 ,Brucerayner@comcast.net,Library Volunteer Fire Company,https://www.libraryvfc.com/,Drive up service,"Monday 10 am - 12:30
Wednesday 10 am - 12:30
Friday 10 am - 12:30",Pre made food.  Packed cold and given cold,6581 Library Road ,,South Park ,PA,15129,active,Any age is welcome ,everyone,No,,,
-79.845802837,40.4062601260001,209,{F153FBFC-2C33-4454-86D6-783837D0F45A},2020/04/01 20:16:02,Frank,412-824-1616  - select option for North Braddock Food Bank,,Bridge City Church Food Pantry,https://www.bridgecitypgh.com/,No. ,Monday-Friday. 10am-Noon. ,Only 1 bag per person. ,1200 Wolfe Avenue,,North Braddock,PA,15104,active,Need to call ahead and let them know you are coming. Anyone can come.,"everyone,students,senior_citizens",Yes,Food pick ups for distibution site. ,,
-79.871682925,40.4062774870001,210,{6E766FFF-8F0A-4439-8006-D2F3B39EFA83},2020/03/22 19:32:36,Reena,412-351-7055,rgoodman@greatervalley.org,Greater Valley Community Services,www.greatervalley.org,Call ahead to confirm food availability and hours,Mon-Fri 8:30 am to 4:30 pm,Recommend that you wear gloves to pick up your food.,300 Holland Ave,,Braddock,PA,15104,active,All are welcome,"everyone,students,senior_citizens",No,,,
-79.9420725,40.403889,211,{D6D333B9-98A9-4D05-84C3-1AF3FE6A12A2},2020/03/22 19:57:44,Walt and Ginger,412-465-5916,vkbrooks14@yahoo.com,Holy Cross Lutheran Chapel : Hazelwood,,(none),Generally Mon-Fri 10:30 am to 2:30 pm,"Recommend that you wear gloves to pick up your food.  Feel free to call, someone can meet you to pick up.  Email is not preferred, please call!",5319 2nd Ave,,Pittsburgh,PA,15207,active,All are welcome,"everyone,students,senior_citizens",No,,,
-79.722075494,40.6126886660001,213,{A6D6399F-CC19-4CFC-8E2C-C6C904527D8C},2020/03/23 04:01:25,Tricia Ritchie,724-257-1117,tricia@everyblockcounts.org,Building Block of Natrona - Veggies for All,https://www.facebook.com/events/677873892959940/,"Distributed from the Knights of Columbus hall. During COVID-19, distribution occurs at building entrance. Accessible location. ",Monthly distribution. Occurs on third Saturday of each month. Doors open at 1 pm. (Line typically starts by 12:30). Food is usually gone by 1:30 pm. We partner with 412 Food Rescue and regularly receive donations to share with the community.,"We provide fresh produce through this program. Typically, based on donations, we have a mix of potatoes, carrots, peppers, oranges, bananas, apples and lettuce. We also provide health/hygiene products at this event through a sister program called Cosmetics Closet. We often have soap, shampoo, toilet paper - usually we focus on one item/month.",28 Garfield Street,,Natrona Heights,PA,15065,active,Open to any adult. You do not have to live in Natrona to be eligible. You do not have to show proof of income. One distribution/household.,"everyone,students,senior_citizens",No,,,
-79.86453,40.3858200060001,214,{59E76D9F-4F9B-4887-826E-89DF2498AA99},2020/03/24 01:11:57,,,,Food Bank Kennywood Distribution,https://triblive.com/local/pittsburgh-allegheny/greater-pittsburgh-food-bank-to-hold-food-distribution-event-monday/,(none),March 23 4-6pm,(none),4800 Kennywood Blvd,,West Mifflin,PA,15221,closed,"capped at 1200 families.
Food orders will be limited to one per car.",closed,No,,no,
-80.002061177,40.456369109,223,{04A02DEC-7B65-4CE2-8BB9-33C27F7D10C8},2020/03/24 11:32:41,Tori,412-359-4030,,Allegheny Health Network : Healthy Food Center Northside,,(none),Mon-Fri 9:00 AM to 4:00 PM,,490 East North Avenue,,PIttsburgh,PA,15212,active,You must have a referral from a doctor of from a community organization to access food.  Please call ahead so the food can be ready for you to pick up.,none_of_the_above,No,,no,
-79.918289936,40.5127403340001,225,{740D2872-A3E7-4102-8277-231A1DC61148},2020/03/24 13:10:35,Daniel Breitkreutz ,4129674409,Cafecomments@fcasd.edu,Kerr Elementary School,FCASD.edu,(none),Wednesday 12:00 pm to 1:30 pm ,Intended to serve FCASD students and remain in place until FCASD students return to school or school year ends.  ,341 Kittanning Pike,,Pittsburgh,PA,15215,active,FCASD eligible students-free and reduced status,students,No,,no,
-79.7641914179999,40.561087786,226,{AAF6EC26-E2C2-49E1-8D08-D2AAFC0C2807},2020/03/24 14:10:04,,,,United Presbyterian Church of New Kensington,https://www.facebook.com/TUPCNK/,(none),We plan to continue for as long as we are able. We will be there Monday-Friday 12-1,(none),601 5th Ave,,New Kensington,PA,15068,active,Grade school and college students can ring a doorbell at the entrance marked No. 3 to pick up a bag of food. No sign-ups required ,students,No,,,
-80.0668062789999,40.445877534,288,{C4AF4E2B-4128-4C65-8A7C-C7FF9E46C14A},2020/03/24 16:43:00,Cortney Marsilio,412-490-6500 Ext 1651,gillc@montourschools.com,Ingram Borough Building,,(none),Monday-Friday 10:45am-11:15am,(none),40 W. Prospect Avenue,,Pittsburgh ,PA,15205,active,Students of the Montour School District,students,No,,no,
-79.849083579,40.3737283940001,290,{1F5911C6-E876-4DE3-8012-B44E7B5E9A86},2020/03/24 18:39:58,,,,Duquesne-West Mifflin Boys & Girls Club,,BGCWPA in partnership with West Mifflin Area School District will be distributing meals in take-out form.,11 AM - 1 PM,(none),29 N. 3rd Street,,Duquesne,PA,15110,active,Youth and families.,everyone,No,,no,
-80.083277977,40.405369168,291,{760A8BF6-AD08-4179-8725-D998792CC986},2020/03/24 18:53:14,,,,Saint John Lutheran Church - Across from Carnegie Boys & Girls Club,,(none),12 noon - 1 PM,Families can stop in for free groceries.  Please call 412-279-2952 Ext: 7 to arrange a time.,601 Washington Avenue,,Carnegie,PA,15106,active,Children 18 and under.,everyone,No,,no,
-80.0010728839999,40.4789727610001,297,{91FC6291-937F-45BE-A9E9-021642B765F9},2020/04/02 19:41:57,,412-323-1020,snevels@ulpgh.org,Northview Heights Family Support Center,,Family Support Center,"This location has access to diapers, wipes, and formula but centers are closed and supplies are limited, so please call ahead","This location has access to diapers, wipes, and formula but centers are closed and supplies are limited, so please call ahead",437 Mount Pleasant Road,,Pittsburgh,PA,,active,focus on families with infants or toddlers,family_support,,,no,Family Support Center
-79.845799569,40.4061650150001,299,{B95FC27D-43C7-48EF-9C48-5A45A5CB29DF},2020/03/24 17:20:53,,412-824-1616,,Greater Pittsburgh Word and Worship,,,,"For intake, call the non-profit. They work to prevent hunger in families and offer resources to meet this need.",1200 Wolfe Avenue & Brinton Road,,North Braddock,PA,15104,active,everyone,everyone,,,,
-79.914169951,40.4624096800001,301,{78B9A2A7-40D9-4CBC-BA1B-7B50D8B7421E},2020/03/24 17:20:46,,412-441-1883,,Mt. Ararat Community Center,,,,"Stop by to receive perishable items such as meats and vegetables, meals, and groceries. There is food for those in an emergency as well as the elderly, among others.",271 Paulson Avenue,,Pittsburgh,PA,15206,active,everyone,everyone,,,,
-80.026773083,40.4665949220001,307,{F5863712-8472-4025-9C1E-71C807E452A0},2020/03/24 17:20:30,,412-231-5200,,Love Food Ministry,,,,"The ministry may have baby goods, meals, and referrals to human service and public aid.",2501 Stayton Street,,Pittsburgh,PA,15214,active,none_of_the_above,none_of_the_above,,,,
-80.025291849,40.4562011400001,308,{6E7DFB29-6673-44CB-9066-1F6F3ADDB35A},2020/03/24 17:20:28,,412-321-1071 ext. 202,,St. Vincent DePaul Center,,,,"Food is available along with emergency financial aid, shelter, and home delivered meals for senior citizens in Allegheny. Volunteers assist the working poor and help children as well.",1243 North Franklin Street,,Pittsburgh,PA,15233,active,none_of_the_above,none_of_the_above,,,,
-79.8997950529999,40.45539933,309,{1E16AFD4-59FE-4529-B007-6C9BE9229AA9},2020/03/24 17:20:25,,412-441-8243,,Nazarene Baptist Church,,,,"The homeless can get a meal, warm winter coat, boots, and other needs met.",7053 Hamilton Avenue,,Pittsburgh,PA,15208,active,none_of_the_above,none_of_the_above,,,,
-80.083353648,40.408044642,311,{9B0E9151-78D2-41E5-9139-5DD3573A6649},2020/03/24 17:20:21,,412-276-4757,,Salvation Army-Chartiers Valley,,,,"Runs a thrift store, clothing, offers meals to the low income, elderly, and homeless, and a number of other government and state assistance programs.",505 Washington Avenue,,Carnegie,PA,15106,active,none_of_the_above,none_of_the_above,,,,
