id,source_org,source_file,original_id,type,name,address,city,state,zip_code,county,location_description,phone,url,latitude,longitude,latlng_source,date_from,date_to,SNAP,WIC,FMNP,fresh_produce,food_bucks,free_distribution,open_to_spec_group,data_issues
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bloomfield Farmer's Market,5050 Liberty Avenue,Pittsburgh,PA,15224,Allegheny,NA,NA,NA,40.459003,-79.944493,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Braddock Farm Stand,6th Street & Braddock Avenue,Braddock,PA,15104,Allegheny,NA,NA,NA,40.403283,-79.868588,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Bridge's Farm,7108 Leechburg Road,New Kenington,PA,15068,Allegheny,NA,NA,NA,40.517658,-79.764416,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Carrick Farmer's Market,1529 Brownsville Road,Pittsburgh,PA,15210,Allegheny,NA,NA,NA,40.400141,-79.988968,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Clairton Green Grocer,533 Miller Avenue,Clairton,PA,15025,Allegheny,Family Dollar parking lot,NA,NA,40.294044,-79.883259,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Coraopolis Farmer's Market,1211 5th Avenue,Coraopolis,PA,15108,Allegheny,Presbyterian Church,NA,NA,40.516388,-80.161044,agency,July,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,DeCarlo's Market,560 McKeesport Road,Elizabeth,PA,15037,Allegheny,NA,NA,NA,40.278533,-79.875457,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Dillner Family Farm,4140 Sandy Hill Road,Gibsonia,PA,15044,Allegheny,NA,NA,NA,40.669553,-79.921152,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Douds Floyd Farm,405 Pleasant Drive,Aliquippa,PA,15001,Allegheny,NA,NA,NA,40.653395,-80.33369,agency,August,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Duda's Farm Stand,1029 Lebanon Road,West Mifflin,PA,15122,Allegheny,NA,NA,NA,40.36009,-79.932729,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Duda's Farm Stand,Hayden Boulevard,Elizabeth,PA,15037,Allegheny,NA,NA,NA,40.258934000000004,-79.878584,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Duquesne Green Grocer,1 N. Linden Street,Duquesne,PA,15110,Allegheny,Greater Pittsburgh Community Food Bank,NA,NA,40.37579,-79.842718,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at East Hills Green Grocer,2291 Wilner Drive,Pittsburgh,PA,15221,Allegheny,East Hills Community Center,NA,NA,40.454251,-79.869969,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,East Liberty Farmer's Market,N. Euclid Avenue,Pittsburgh,PA,15206,Allegheny,Garland Parklet lot next to firehouse,NA,NA,40.471654,-79.922148000000007,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Eichner's Farm Market,285 Richard Road,Wexford,PA,15090,Allegheny,NA,NA,NA,40.607845,-80.060142,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Elizabeth Farmer's Market,Water Street,Elizabeth,PA,15037,Allegheny,NA,NA,NA,40.272309,-79.888919,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Etna Farmer's Market,437 Butler Street,Pittsburgh,PA,15223,Allegheny,NA,NA,NA,40.499688,-79.944058,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Farmer's Co-Op of East Liberty,344 N. Sheridan Avenue,Pittsburgh,PA,15206,Allegheny,Next to Home Depot,NA,NA,40.464359,-79.921285,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Forest Hills Farmer's Market,Ardmore Boulevard,Pittsburgh,PA,15221,Allegheny,Forest Hills Presbyterian Church,NA,NA,40.427339,-79.862839,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Fox Chapel Farmer's Market,423 Fox Chapel Road,Pittsburgh,PA,15238,Allegheny,Shadyside Academy,NA,NA,40.522005,-79.886905,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Friel's Farm Market,390 Friel Road,Baden,PA,15005,Allegheny,NA,NA,NA,40.631948,-80.156065,agency,July,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Glassport Green Grocer,440 Monongahela Avenue,Glassport,PA,15045,Allegheny,Glassport Honor Roll Park,NA,NA,40.327806,-79.892689,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Tree Farmer's Market,10 W. Manila Avenue,Pittsburgh,PA,15220,Allegheny,Green Tree Park,NA,NA,40.418771,-80.047047,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Harvest Valley Farm,6003 Cunningham Road,Gibsonia,PA,15044,Allegheny,NA,NA,NA,40.663915,-79.934944,agency,NA,NA,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Holy Cross Farmer's Market,123 Gilkeson Road,Pittsburgh,PA,15228,Allegheny,NA,NA,NA,40.355484,-80.053081,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Homewood Fresh Access,7139 Frankstown Avenue,Pittsburgh,PA,15208,Allegheny,NA,NA,NA,40.457852,-79.89772,agency,July,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Homewood Green Grocer,7227 Hamilton Avenue,Pittsburgh,PA,15208,Allegheny,Alma Illery Medical Center,NA,NA,40.4546,-79.896217,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Homewood Backyard Market,7139 Frankstown Avenue,Pittsburgh,PA,15208,Allegheny,NA,NA,NA,40.457852,-79.89772,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Janoski's Farm Market,1714 Route 30,Clinton,PA,15026,Allegheny,NA,NA,NA,40.492125,-80.331248,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Jodikinos Farm Stand,2488 Route 18,Clinton,PA,15026,Allegheny,NA,NA,NA,40.540033,-80.419116,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Larimer Farm Stand,413 Larimer Avenue,Pittsburgh,PA,15206,Allegheny,Larimer Community Garden & Urban Farm,NA,NA,40.465052,-79.915181,agency,June 23,November 24,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Late Bloomers Garden Club Farmer's Market,1840 Ardmore Boulevard,Pittsburgh,PA,15221,Allegheny,NA,NA,NA,40.424984,-79.861141,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Lawrenceville Farmer's Market,250 40th Street,Pittsburgh,PA,15201,Allegheny,Arsenal Park (near 40th St. entrance),NA,NA,40.467695,-79.960795,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mallisee Farm,Saltsburg Road at Willow Village,Pittsburgh,PA,15239,Allegheny,NA,NA,NA,40.475162,-79.771779,agency,July,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Market Square Farmer's Market,Market Square,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.441025,-80.002645,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mazurs Greenhouse and Farm,3333 Babcock Boulevard,Pittsburgh,PA,15237,Allegheny,Mazurs Autobody,NA,NA,40.533761,-80.019284,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,McConnell's Hill Farm,294 New Bethlehem Church Road,Aliquippa,PA,15001,Allegheny,NA,NA,NA,40.534606,-80.291745,agency,July,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at McKees Rocks Green Grocer,1100 Chartiers Avenue,McKees Rocks,PA,15136,Allegheny,5 Generation Bakers,NA,NA,40.46563,-80.06818,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mellon Square Farmer's Market,529 Smithfield Street,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.440903,-79.998276,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Millvale Green Grocer,518 Grant Avenue,Pittsburgh,PA,15209,Allegheny,GAP Park,NA,NA,40.480754,-79.974368,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Misera Farms,Butler Logan Road,Tarentum,PA,15084,Allegheny,NA,NA,NA,40.579492,-79.797134,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Monroeville Lion's Farmer's Market,2399 Tillbrook Road,Monroeville,PA,15146,Allegheny,Monroeville Community Park,NA,NA,40.418342,-79.763985,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Moon Township Farmer's Market,1000 Beaver Grade Road,Moon Township,PA,15108,Allegheny,Municipal Building,NA,NA,40.504587,-80.208135,agency,June,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mt. Hope Farmer's Market,12106 Frankstown Road,Pittsburgh,PA,15235,Allegheny,NA,NA,NA,40.470772,-79.820478,agency,June,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mt. Lebanon Lions Farmer's Market,975 Washington Road,Pittsburgh,PA,15228,Allegheny,United Lutheran Church parking lot,NA,NA,40.37376,-80.048131,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Mt. Lebanon Upton Farmer's Market,710 Washington Road,Pittsburgh,PA,15228,Allegheny,NA,NA,NA,40.379964,-80.045191,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Mt. Oliver/Knoxville Green Grocer,Brownsville Road at Hays Avenue,Pittsburgh,PA,15210,Allegheny,Clock Tower,NA,NA,40.414217,-79.987975,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,New Sheffield Farmer's Market,2816 Brodhead Road,Aliquippa,PA,15001,Allegheny,NA,NA,NA,40.615515,-80.285458,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Northside Farmer's Market,801 Union Place,Pittsburgh,PA,15212,Allegheny,Allegheny Commons East Park,NA,NA,40.454513,-80.002965,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Oakland Farmer's Market,4100 Forbes Avenue,Pittsburgh,PA,15213,Allegheny,Schenley Plaza,NA,NA,40.443386,-79.952135,agency,July,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Olde World Produce,1206 Route 51,Jefferson Hills,PA,15025,Allegheny,Ciccanti's Ristorante parking lot,NA,NA,40.31224,-79.938562,agency,July,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Original Farmer's Market,151 Parks Road,Cuddy,PA,15031,Allegheny,NA,NA,NA,40.339917,-80.171283,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Pennsylvania Market Building,108 18th Street,Pittsburgh,PA,15222,Allegheny,NA,NA,NA,40.450759,-79.985309,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Ross Township Farmer's Market,920 Perry Highway,Pittsburgh,PA,15237,Allegheny,St. John's Church,NA,NA,40.533395,-80.03564,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Schiefelbein Farm Stand,3323 Route 151,Aliquippa,PA,15001,Allegheny,NA,NA,NA,40.545145,-80.306042,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Sewickley Farmer's Market,200 Walnut Street,Sewickley,PA,15143,Allegheny,St. James Catholic Church parking lot,NA,NA,40.537606,-80.184696,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Sharpsburg Green Grocer,1212 Main Street,Pittsburgh,PA,15215,Allegheny,Sharpsburg Community Library,NA,NA,40.494457,-79.930212,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Shenot Farm Market,3754 Wexford Run Road,Wexford,PA,15090,Allegheny,NA,NA,NA,40.627021,-80.07968,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Sheraden Green Grocer,720 Sherwood Avenue,Pittsburgh,PA,15204,Allegheny,Sheraden Library,NA,NA,40.455202,-80.056557,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Shiloh Farm Stand,Thomas Boulevard & Homewood Avenue,Pittsburgh,PA,15208,Allegheny,NA,NA,NA,40.451184,-79.9899089,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Simmons Farm Market,170 Simmons Road,McMurray,PA,15317,Allegheny,NA,NA,NA,40.270055,-80.082325,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Simmons Farm Market,2861 Washington Road,McMurray,PA,15317,Allegheny,NA,NA,NA,40.300759,-80.098302,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Soergel Orchards,2573 Brandt School Road,Wexford,PA,15090,Allegheny,NA,NA,NA,40.614598,-80.092754,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Southside Farmer's Market,18th Street & East Carson Street,Pittsburgh,PA,15203,Allegheny,Parking lot,NA,NA,40.428468,-79.980291,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Spring Hill Green Grocer,125 Rhine Place,Pittsburgh,PA,15212,Allegheny,Three Rivers Manor,NA,NA,40.467138,-79.993135,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Squirrel Hill Farmer's Market,5737 Beacon Street,Pittsburgh,PA,15217,Allegheny,Pittsburgh Parking Authority parking lot,NA,NA,40.434744,-79.924142,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Steel Plaza Farmer's Market,8 Grant Street,Pittsburgh,PA,15222,Allegheny,Steel Plaza,NA,NA,40.441041,-79.995344,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Swissvale Fresh Access,2036 Noble Street,Pittsburgh,PA,15218,Allegheny,Municipal parking lot,NA,NA,40.420912,-79.885924,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Tarentum Farmer's Market,913 Lock Street,Tarentum,PA,15084,Allegheny,NA,NA,NA,40.604353,-79.756658,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,The Block @ Northway,8103 McKnight Road,Pittsburgh,PA,15237,Allegheny,Northway Mall,NA,NA,40.558382,-80.023612,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Tractor Supply Farmer's Market,4015 Freeport Road,Natrona Heights,PA,15065,Allegheny,Highlands Mall,NA,NA,40.646918,-79.710027,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Trax Farms,528 Trax Road,Finleyville,PA,15332,Allegheny,NA,NA,NA,40.276656,-80.032011,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Triple B Farms,823 Berry Lane,Monongahela,PA,15063,Allegheny,NA,NA,NA,40.226375,-79.946364,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Upper St. Clair Lions Farmer's Market,2040 Washington Road,Pittsburgh,PA,15241,Allegheny,Westminster Presbyterian Church,NA,NA,40.339976,-80.065555,agency,June,September,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Valley View Farm Stand,601 N. Aiken Avenue,Pittsburgh,PA,15206,Allegheny,NA,NA,NA,40.47095,-79.932796,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Verona Farmer's Market,736 East Railroad Avenue,Verona,PA,15147,Allegheny,NA,NA,NA,40.506048,-79.844477,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,West Homestead Farmer's Market,456 W. 8th Avenue,Homestead,PA,15120,Allegheny,NA,NA,NA,40.401228,-79.917314,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Wexford Farms,550 Warrendale Road,Wexford,PA,15090,Allegheny,NA,NA,NA,40.64763,-80.100129,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Wilkins Township Farmer's Market,333 Penn Center Boulevard,Pittsburgh,PA,15235,Allegheny,Route 22 Penn Center,NA,NA,40.427682,-79.811636,agency,June,October,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Wilkinsburg Farmer's Market,225 Penn Avenue,Pittsburgh,PA,15221,Allegheny,Life Care Hospital parking lot,NA,NA,40.446769,-79.891807,agency,June,November,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Wilmerding Green Grocer,314 Commerce Street,Wilmerding,PA,15148,Allegheny,Wilmerding Apartments,NA,NA,40.392927,-79.807721,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
NA,PFPC,2019_farmers-markets.csv,NA,farmer's market,Green Grocer at Woods Run Green Grocer,1201 Woods Run Avenue,Pittsburgh,PA,15212,Allegheny,Woods Run Library,NA,NA,40.476243,-80.030199,agency,January,December,1,0,0,1,0,0,0,timestamps in season column;no phone; no url; county assumed; source assumed
