"","id","name","type","address","street_one","street_two","city","state","zip_code","location_description","date_from","date_to","open_time1","close_time1","open_time2","close_time2","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","SNAP","WIC","FMNP","fresh_produce.healthy","MRFEI_score","latitude","longitude"
"36",NA,"Market Square Farmer’s Market","Farmers Market","222 Fifth Ave",NA,NA,"Pittsburgh","PA",15222,"Market Square","June","October","10:00 PM","2:00 PM",NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,-80.00149483,40.44102068
"37",NA,"Mazur Auto Body","Farmers Market","3333 Babcock Blvd.",NA,NA,"Pittsburgh","PA",15237,NA,"July","October","9:00 AM","5:00 PM",NA,NA,0,1,1,1,1,1,0,NA,NA,NA,NA,NA,-80.01928087,40.53375335
"38",NA,"Mellon Square Farmer’s Market—Citiparks","Farmers Market","529 Smithfield Street",NA,NA,"Pittsburgh","PA",15222,NA,"May 12","October 27","10:30 AM","1:30 PM",NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,-79.99810947,40.44099946
"39",NA,"Misera Farms","Farmers Market","Butler Logan Road",NA,NA,"Tarentum","PA",15084,NA,"June","October","11:00 AM","4:00 PM",NA,NA,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,-79.802884,40.583462
"40",NA,"Monroeville Lion’s Farmer’s Market","Farmers Market","2399 Tilbrook Road",NA,NA,"Monroeville","PA",15146,"Monroeville Community Park",NA,NA,"9:00 AM","12:00 PM",NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,-79.77191541,40.41877601
"41",NA,"Moon Township Farmer’s Market","Farmers Market","1000 Beaver Grade Road",NA,NA,"Moon Township","PA",15108,"Municipal Building",NA,NA,"3:30 PM","6:30 PM",NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,-80.20813141,40.50457927
"42",NA,"Mt. Lebanon Lions Farmer’s Market","Farmers Market","975 Washington Road",NA,NA,"Pittsburgh","PA",15228,"United Lutheran Church parking lot",NA,NA,"4:00 PM","7:00 PM",NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,-80.04812799,40.37375159
"43",NA,"Mt. Lebanon Uptown Farmer’s Market","Farmers Market","710 Washington Road",NA,NA,"Pittsburgh","PA",15228,NA,"June","November","9:00 AM","12:00 PM",NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,-80.04518726,40.37995582
"44",NA,"Northside Farmer’s Market—Citiparks","Farmers Market","East Ohio Street",NA,NA,"Pittsburgh","PA",15212,"East Park",NA,NA,"3:00 PM","7:00 PM",NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,-80.00137246,40.45349973
"45",NA,"Oakland Farmer’s Market","Farmers Market","Atwood Street",NA,NA,"Pittsburgh","PA",15213,NA,"June","October","3:00 PM","6:00 PM",NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,-79.956838,40.440485
"46",NA,"Olde World Produce","Farmers Market","1206 Route 51",NA,NA,"Jefferson Hills","PA",15025,"Ciccanti’s Ristorante parking lot",NA,NA,"9:30 AM","5:30 PM",NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,-79.93855831,40.31223221
"47",NA,"Original Farmer’s Night Market","Farmers Market","Route 50 East",NA,NA,"McDonald","PA",15057,"off I-79","June","November","5:30 PM","9:00 PM",NA,NA,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,-80.117311,40.355634
"48",NA,"Penn Hills Garden Center","Farmers Market","200 Jefferson Road",NA,NA,"Pittsburgh","PA",15235,NA,"June","October","10:00 AM","2:00 PM",NA,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,-79.82341696,40.46440831
"49",NA,"Pennsylvania Market Building","Farmers Market","108 18th Street",NA,NA,"Pittsburgh","PA",15222,"(Strip District)","Sunday 9","00 AM","9:00 AM","4:00 PM",NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,-79.98091303,40.42775355
"50",NA,"Pleasant Hills Farmer’s Market","Farmers Market","461 Clairton Road",NA,NA,"Pittsburgh","PA",15236,"Next to Chick Fil A",NA,NA,"3:00 PM","7:00 PM",NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,-79.94643951,40.33504948
"51",NA,"Robinson Farmer’s Market","Farmers Market","5718 Steubenville Pike",NA,NA,"McKees Rocks","PA",15136,"Holy Trinity Catholic Church, upper parking lot","June 5 to October 2",NA,"4:00 PM","7:00 PM",NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,-80.13522525,40.45239186
"52",NA,"Ross Township Farmer’s Market","Farmers Market","920 Perry Highway",NA,NA,"Pittsburgh","PA",15237,NA,"June","","3:00 PM","7:00 PM",NA,NA,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,-80.03586335,40.53370498
"53",NA,"Sewickley Farmer’s Market","Farmers Market","200 Walnut Street",NA,NA,"Sewickley","PA",15143,"St. James parking lot","June","","9:00 AM","1:00 PM",NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,-80.18469267,40.53759754
"54",NA,"St. Ursula Parish—Hampton Township","Farmers Market","3937 Kirk Avenue",NA,NA,"Allison Park","PA",15101,NA,"June","October","1:00 PM","5:00 PM",NA,NA,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,-79.96349959,40.56079645
"55",NA,NA,NA,"498 Camp Horne Road",NA,NA,NA,NA,15237,NA,NA,NA,"8:45 AM","9:45 AM","11:45 AM","1:45 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.08354088,40.522579
"56",NA,NA,NA,"221 E. 12th Ave",NA,NA,NA,NA,15120,NA,NA,NA,"8 AM","9 AM","11:30 AM","1:30 PM",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,-79.9077595,40.40486337
"57",NA,NA,NA,"5315 Hillcrest Street",NA,NA,NA,NA,15224,NA,NA,NA,"9 AM","10 AM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.93690782,40.46839106
"58",NA,NA,NA,"3650 Fieldstone Drive",NA,NA,NA,NA,15120,"West Homestead Community Park",NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.9160459,40.39461135
"59",NA,NA,NA,"600 California Ave.",NA,NA,NA,NA,15202,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.06919593,40.50167514
"60",NA,NA,NA,"808 Ridge Avenue",NA,NA,NA,NA,15212,"Jones Hall Room 102-03",NA,NA,"12:30 PM","1:00 PM",NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,-80.01790351,40.44981284
"61",NA,NA,NA,"161 Hazelwood Ave.",NA,NA,NA,NA,15207,NA,NA,NA,"8:30 AM","9:30 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.94212505,40.41199123
"62",NA,NA,NA,"630 Washington Ave.",NA,NA,NA,NA,15106,NA,NA,NA,"8 AM","9 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.08408392,40.40463696
"63",NA,NA,NA,"Freemont Street",NA,NA,NA,NA,15025,"Directly Below The Swimming Pool",NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.89163097,40.30342396
"64",NA,NA,NA,"2901 Brownlee Ave.",NA,NA,NA,NA,15132,"Family Service Cener",NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84261099,40.35128216
"65",NA,NA,NA,"29 North 3rd Street",NA,NA,NA,NA,15110,NA,NA,NA,"9:30 AM","10:30 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8490795,40.3737166
"66",NA,NA,NA,"506 Bessemer Ave",NA,NA,NA,NA,15112,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84469797,40.39534977
"67",NA,NA,NA,"250 North Highland Ave",NA,NA,NA,NA,15206,NA,NA,NA,"8:30 AM","9:30 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-79.92344084,40.46324318
"68",NA,NA,NA,"Frazier Drive",NA,NA,NA,NA,15235,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.81438239,40.4341855
"69",NA,NA,NA,"1922 Pennsylvania Ave",NA,NA,NA,NA,15122,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,-79.86500172,40.36304793
"70",NA,NA,NA,"Hillcrest Street",NA,NA,NA,NA,15224,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.9422251,40.46869366
"71",NA,NA,NA,"10th  Amity Street",NA,NA,NA,NA,15120,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.91351706,40.41098318
"72",NA,NA,NA,"417 Monogahala Ave",NA,NA,NA,NA,15145,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.89244725,40.32850832
"73",NA,NA,NA,"2500 Webster Ave",NA,NA,NA,NA,15219,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.97225056,40.44948268
"74",NA,NA,NA,"Hamilton Ave.",NA,NA,NA,NA,15145,"Kenyon Street Intersection",NA,NA,"11 AM","12 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8207939,40.41331922
"75",NA,NA,NA,"100 Market Street",NA,NA,NA,NA,15132,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8668769,40.35152212
"76",NA,NA,NA,"3534 Laketon Road",NA,NA,NA,NA,15235,"Front Entrance",NA,NA,"8 AM","9 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84471075,40.45885636
"77",NA,NA,NA,"807 Wallace Ave.",NA,NA,NA,NA,15221,NA,NA,NA,"9 AM","10 AM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.88769665,40.44558155
"78",NA,NA,NA,"815 Arbor Lane",NA,NA,NA,NA,15147,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.80519152,40.51352236
"79",NA,NA,NA,NA,"Reed Street","Mitchell Ave",NA,NA,15025,"Corner Of Reed Street And Mitchell Ave",NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.88009706,40.29052103
"80",NA,NA,NA,"7300 Ridgeview Ave.",NA,NA,NA,NA,15235,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8857335,40.46757701
"81",NA,NA,NA,"Alpine Blvd.",NA,NA,NA,NA,15221,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8432839,40.42344455
"82",NA,NA,NA,"2624 Brandis Street",NA,NA,NA,NA,15129,NA,NA,NA,"8 AM","9 AM","11:30 AM","12:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.0112251,40.29064302
"83",NA,NA,NA,"17 Cochran Street",NA,NA,NA,NA,15122,NA,NA,NA,"8 AM","9 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84227851,40.36686948
"84",NA,NA,NA,"1014 Mapleview Drive",NA,NA,NA,NA,15104,"Community Room",NA,NA,"8:30 AM","9:30 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.86214016,40.39963549
"85",NA,NA,NA,"1510 Versaille Ave",NA,NA,NA,NA,15132,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.85499091,40.34665127
"86",NA,NA,NA,"1406 Cornell Street",NA,NA,NA,NA,15132,NA,NA,NA,"9:30 AM","10:30 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.85828594,40.34634364
"87",NA,NA,NA,"200 A Drive",NA,NA,NA,NA,15122,NA,NA,NA,"8 AM","9 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.91038619,40.34128796
"88",NA,NA,NA,"1 Midway Drive",NA,NA,NA,NA,15122,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.88458153,40.39813753
"89",NA,NA,NA,"308 Hemlock Drive",NA,NA,NA,NA,15108,"Community Center",NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.18759305,40.52506071
"90",NA,NA,NA,"1515 Tinsbury St",NA,NA,NA,NA,15212,NA,NA,NA,"12:00 PM","1:30 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.98324303,40.46418544
"91",NA,NA,NA,"271 Paulson Ave.",NA,NA,NA,NA,15206,NA,NA,NA,"9 AM","10 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.91415816,40.46240057
"92",NA,NA,NA,"3801 Mountain Rd",NA,NA,NA,NA,15129,NA,NA,NA,"8 AM","9 AM","11:30 AM","12:30 PM",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,-80.01161739,40.28326265
"93",NA,NA,NA,"7528 Roslynn Street",NA,NA,NA,NA,15218,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,-79.88492214,40.41962375
"94",NA,NA,NA,NA,"River Ave.","Diamond Alley",NA,NA,15065,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.71972063,40.61405543
"95",NA,NA,NA,"1401 Greensburg Ave.",NA,NA,NA,NA,15137,NA,NA,NA,"11 AM","1 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.81780447,40.38091701
"96",NA,NA,NA,"2432 Greensburg Pike",NA,NA,NA,NA,15221,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,-79.85633176,40.43832701
"97",NA,NA,NA,"1191 Romine Ave.",NA,NA,NA,NA,15133,NA,NA,NA,"8:30 AM","9:30 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.87088409,40.34218154
"98",NA,NA,NA,"1500 Yost Boulevard",NA,NA,NA,NA,15221,NA,NA,NA,"8:30 AM","9:30 AM","11:30 AM","12:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.85280347,40.41453029
"99",NA,NA,NA,"1611 Monroeville Ave.",NA,NA,NA,NA,15145,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.8152387,40.40934923
"100",NA,NA,NA,"5401 Glenwood Ave.",NA,NA,NA,NA,15207,NA,NA,NA,"9 AM","10 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.93838737,40.40401702
"101",NA,NA,NA,"129 East 10th Ave.",NA,NA,NA,NA,15120,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.91048189,40.4052802
"102",NA,NA,NA,"2412 Versailles Ave.",NA,NA,NA,NA,15132,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84819942,40.34551938
"103",NA,NA,NA,"340 Bilmar Drive",NA,NA,NA,NA,15205,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.1060868,40.45432216
"104",NA,NA,NA,"1805 Buena Vista Street",NA,NA,NA,NA,15212,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-80.01597406,40.46014858
"105",NA,NA,NA,"425 Agatha Street",NA,NA,NA,NA,15140,NA,NA,NA,"9 AM","10 AM","11 AM","1 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.77971557,40.40412609
"106",NA,NA,NA,NA,"Maple Drive","Hollyrood Road",NA,NA,15227,NA,NA,NA,"11:30 AM","1:30 PM",NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.9643039,40.36411343
"107",NA,NA,NA,"230 Third Street",NA,NA,NA,NA,15104,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.88007558,40.41218265
"108",NA,NA,NA,"100 Redwood Drive",NA,NA,NA,NA,15071,NA,NA,NA,"12:00 PM","2 PM",NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,-80.2148002,40.44550578
"109",NA,NA,NA,"504 Fourth Street",NA,NA,NA,NA,15104,NA,NA,NA,"8:30 AM","9:30 AM","11:30 AM","1:30 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.86951269,40.40659289
"110",NA,NA,NA,"655 Sylvan Way",NA,NA,NA,NA,15147,NA,NA,NA,"9 AM","10 AM","12:00 PM","2 PM",NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,-79.84565115,40.5045879
